Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing potentials
Done in 0.0s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing potentials
Done in 0.0s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.8s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=10.870 acc=  6% / t(ms): 1013.7 4719.3 107.9)
e001-i0470 => L=4.335 acc= 49% / t(ms):   0.6  86.4 123.2)
e001-i0475 => L=3.729 acc= 67% / t(ms):   0.6  85.4 122.4)
e001-i0480 => L=3.622 acc= 67% / t(ms):   0.5  84.2 121.9)
e001-i0485 => L=2.724 acc= 83% / t(ms):   0.5  83.0 121.3)
e001-i0490 => L=3.436 acc= 67% / t(ms):   0.5  81.9 121.0)
e001-i0496 => L=3.422 acc= 71% / t(ms):   0.4  81.0 119.4)
Validation : 0.0% (timings : 50.23 6.59)
Validation : 22.0% (timings : 28.76 40.97)
Validation : 56.0% (timings : 12.23 52.63)
Validation : 96.0% (timings : 4.47 51.39)
S3DIS mean IoU = 28.2%
e002-i0000 => L=3.067 acc= 76% / t(ms): 7241.8 140.5 220.8)
e002-i0005 => L=3.204 acc= 77% / t(ms):   1.8 109.7 131.1)
e002-i0010 => L=4.078 acc= 53% / t(ms):   1.3 102.3 129.4)
e002-i0015 => L=3.846 acc= 62% / t(ms):   1.0  93.7 124.9)
e002-i0020 => L=3.620 acc= 71% / t(ms):   0.8  90.0 123.6)
e002-i0025 => L=3.212 acc= 73% / t(ms):   0.7  88.7 123.5)
e002-i0030 => L=3.335 acc= 75% / t(ms):   0.7  87.4 123.4)
e002-i0035 => L=3.105 acc= 73% / t(ms):   0.7  87.7 124.9)
e002-i0040 => L=3.573 acc= 69% / t(ms):   0.7  89.1 123.8)
e002-i0045 => L=3.478 acc= 70% / t(ms):   0.7  85.9 122.3)
e002-i0050 => L=3.200 acc= 80% / t(ms):   0.7  87.9 124.9)
e002-i0055 => L=3.741 acc= 71% / t(ms):   0.7  88.8 126.1)
e002-i0060 => L=3.941 acc= 61% / t(ms):   0.7  87.2 125.0)
e002-i0065 => L=3.048 acc= 73% / t(ms):   0.7  86.1 122.7)
e002-i0070 => L=3.120 acc= 76% / t(ms):   0.6  89.6 122.5)
e002-i0075 => L=3.681 acc= 63% / t(ms):   0.6  87.6 121.6)
e002-i0080 => L=3.814 acc= 60% / t(ms):   0.6  86.5 121.4)
e002-i0085 => L=3.389 acc= 67% / t(ms):   0.6  85.6 121.4)
e002-i0090 => L=3.060 acc= 78% / t(ms):   0.6  86.8 122.1)
e002-i0095 => L=3.348 acc= 70% / t(ms):   0.6  88.1 124.0)
e002-i0100 => L=3.109 acc= 80% / t(ms):   0.6  87.1 123.7)
e002-i0105 => L=3.233 acc= 77% / t(ms):   0.7  86.3 123.1)
e002-i0110 => L=3.329 acc= 69% / t(ms):   0.6  85.8 123.4)
e002-i0115 => L=2.982 acc= 77% / t(ms):   0.7  86.6 124.7)
e002-i0120 => L=3.025 acc= 72% / t(ms):   0.6  86.7 123.9)
e002-i0125 => L=2.871 acc= 80% / t(ms):   0.6  85.7 124.0)
e002-i0130 => L=2.732 acc= 85% / t(ms):   0.6  85.1 123.7)
e002-i0135 => L=3.716 acc= 62% / t(ms):   0.7  83.7 125.1)
e002-i0140 => L=3.381 acc= 78% / t(ms):   0.7  88.4 126.8)
e002-i0145 => L=3.253 acc= 67% / t(ms):   0.7  88.7 126.6)
e002-i0150 => L=3.510 acc= 69% / t(ms):   0.7  88.9 129.3)
e002-i0155 => L=3.464 acc= 64% / t(ms):   0.7  88.7 128.0)
e002-i0160 => L=3.372 acc= 63% / t(ms):   0.7  87.8 126.0)
e002-i0165 => L=3.094 acc= 78% / t(ms):   0.6  89.4 126.6)
e002-i0170 => L=3.127 acc= 71% / t(ms):   0.7  89.5 129.2)
e002-i0175 => L=3.323 acc= 71% / t(ms):   0.7  88.8 129.4)
e002-i0180 => L=3.350 acc= 71% / t(ms):   0.6  90.4 128.2)
e002-i0185 => L=2.893 acc= 76% / t(ms):   0.6  90.7 129.7)
e002-i0190 => L=3.184 acc= 77% / t(ms):   0.6  90.7 129.4)
e002-i0195 => L=2.891 acc= 84% / t(ms):   0.7  90.1 129.4)
e002-i0200 => L=3.251 acc= 69% / t(ms):   0.6  89.8 128.4)
e002-i0205 => L=3.518 acc= 69% / t(ms):   0.6  87.7 125.6)
e002-i0210 => L=3.565 acc= 66% / t(ms):   0.6  86.4 125.4)
e002-i0215 => L=3.880 acc= 64% / t(ms):   0.6  85.0 123.4)
e002-i0220 => L=3.585 acc= 66% / t(ms):   0.6  85.1 122.0)
e002-i0225 => L=3.240 acc= 69% / t(ms):   0.5  84.8 122.3)
e002-i0230 => L=3.147 acc= 71% / t(ms):   0.5  85.1 121.2)
e002-i0235 => L=3.769 acc= 61% / t(ms):   0.6  84.4 122.0)
e002-i0240 => L=2.876 acc= 75% / t(ms):   0.5  84.6 123.1)
e002-i0245 => L=4.376 acc= 52% / t(ms):   0.5  84.0 122.8)
e002-i0250 => L=3.365 acc= 70% / t(ms):   0.6  84.8 122.7)
e002-i0255 => L=3.432 acc= 71% / t(ms):   0.5  84.7 122.0)
e002-i0260 => L=2.707 acc= 82% / t(ms):   0.5  85.6 123.4)
e002-i0265 => L=3.664 acc= 60% / t(ms):   0.5  86.5 123.1)
e002-i0270 => L=3.397 acc= 72% / t(ms):   0.5  85.6 123.4)
e002-i0275 => L=3.874 acc= 51% / t(ms):   0.6  87.8 127.9)
e002-i0280 => L=4.045 acc= 61% / t(ms):   0.6  87.7 127.7)
e002-i0285 => L=3.461 acc= 73% / t(ms):   0.6  86.8 128.2)
e002-i0290 => L=3.667 acc= 56% / t(ms):   0.6  86.0 126.0)
e002-i0295 => L=3.388 acc= 74% / t(ms):   0.6  85.3 126.0)
e002-i0300 => L=3.223 acc= 73% / t(ms):   0.6  86.9 128.4)
e002-i0305 => L=3.834 acc= 55% / t(ms):   0.6  87.7 125.0)
e002-i0310 => L=3.550 acc= 58% / t(ms):   0.6  88.5 126.6)
e002-i0315 => L=3.492 acc= 63% / t(ms):   0.6  88.4 126.5)
e002-i0320 => L=3.317 acc= 68% / t(ms):   0.6  86.8 125.4)
e002-i0325 => L=3.138 acc= 79% / t(ms):   0.6  85.7 124.9)
e002-i0330 => L=2.877 acc= 80% / t(ms):   0.6  86.0 123.8)
e002-i0335 => L=3.174 acc= 75% / t(ms):   0.6  86.5 123.8)
e002-i0340 => L=3.997 acc= 58% / t(ms):   0.6  85.6 124.6)
