Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.2s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.2s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.1s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.3s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.3s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.5s
Preparing reprojection indices for testing
Area_5 done in 0.3s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 58084
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 40
[92m"0.480_1.200": 37
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 58084
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 40
[92m"0.480_1.200": 37
Calibration done in 0.0s
Model Preparation
*****************
Done in 1.1s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.549 acc=  7% / t(ms): 1196.9 216524.2  66.0)
e001-i0236 => L=0.976 acc= 73% / t(ms):   6.1  73.2  87.4)
e001-i0243 => L=1.237 acc= 59% / t(ms):   5.9  72.1  86.3)
e001-i0250 => L=1.205 acc= 54% / t(ms):   6.0  71.8  85.1)
e001-i0257 => L=1.236 acc= 56% / t(ms):   5.9  71.5  85.5)
e001-i0264 => L=1.162 acc= 58% / t(ms):   5.9  71.5  85.8)
e001-i0271 => L=0.981 acc= 66% / t(ms):   6.0  71.9  86.2)
e001-i0278 => L=0.899 acc= 67% / t(ms):   6.1  71.1  85.9)
e001-i0285 => L=1.547 acc= 48% / t(ms):   6.3  71.1  85.3)
e001-i0292 => L=1.135 acc= 65% / t(ms):   6.1  71.8  86.3)
e001-i0299 => L=0.900 acc= 69% / t(ms):   6.1  71.9  86.1)
e001-i0305 => L=1.176 acc= 60% / t(ms):   6.0  72.6  87.1)
e001-i0312 => L=1.063 acc= 65% / t(ms):   6.2  72.1  86.6)
e001-i0319 => L=1.331 acc= 53% / t(ms):   6.0  71.8  86.0)
e001-i0326 => L=1.087 acc= 63% / t(ms):   6.2  71.1  84.9)
e001-i0333 => L=1.392 acc= 44% / t(ms):   6.0  72.3  86.2)
e001-i0339 => L=1.144 acc= 60% / t(ms):   6.0  73.7  87.2)
e001-i0346 => L=1.249 acc= 60% / t(ms):   6.2  72.5  86.8)
e001-i0353 => L=1.097 acc= 62% / t(ms):   6.1  72.0  86.3)
e001-i0360 => L=1.055 acc= 65% / t(ms):   6.0  71.8  86.3)
e001-i0366 => L=1.045 acc= 67% / t(ms):   5.9  72.1  86.9)
e001-i0373 => L=0.904 acc= 72% / t(ms):   6.3  70.7  85.8)
e001-i0379 => L=1.186 acc= 60% / t(ms):   6.2  72.4  87.2)
e001-i0386 => L=0.950 acc= 67% / t(ms):   6.0  72.3  87.0)
e001-i0393 => L=0.897 acc= 72% / t(ms):   6.0  71.6  86.1)
e001-i0400 => L=0.854 acc= 73% / t(ms):   6.0  70.9  85.0)
e001-i0407 => L=1.019 acc= 64% / t(ms):   5.9  70.5  84.6)
e001-i0414 => L=1.305 acc= 55% / t(ms):   5.8  70.1  84.3)
e001-i0421 => L=1.056 acc= 63% / t(ms):   6.0  70.5  85.1)
e001-i0428 => L=1.367 acc= 44% / t(ms):   6.0  70.1  83.8)
e001-i0435 => L=1.388 acc= 55% / t(ms):   6.0  70.5  85.0)
e001-i0441 => L=1.076 acc= 61% / t(ms):   6.0  71.9  86.5)
e001-i0448 => L=1.012 acc= 65% / t(ms):   6.0  71.0  85.8)
e001-i0455 => L=0.745 acc= 75% / t(ms):   6.0  70.4  84.6)
e001-i0462 => L=1.140 acc= 59% / t(ms):   6.1  70.2  84.5)
e001-i0469 => L=1.105 acc= 69% / t(ms):   5.9  70.1  84.1)
e001-i0475 => L=0.923 acc= 67% / t(ms):   6.4  70.6  86.1)
e001-i0482 => L=1.000 acc= 70% / t(ms):   6.1  70.5  85.4)
e001-i0489 => L=0.538 acc= 83% / t(ms):   5.9  70.4  84.6)
e001-i0496 => L=0.993 acc= 64% / t(ms):   5.7  70.5  84.5)
Validation : 0.0% (timings : 52.12 3.78)
Validation : 18.0% (timings : 50.35 25.03)
Validation : 46.0% (timings : 37.61 37.43)
Validation : 72.0% (timings : 34.23 42.42)
S3DIS mean IoU = 30.7%
e002-i0000 => L=0.964 acc= 67% / t(ms): 9101.4  43.8 151.4)
e002-i0006 => L=1.011 acc= 63% / t(ms):   6.0  73.0  84.6)
e002-i0013 => L=0.948 acc= 69% / t(ms):   5.7  72.0  84.2)
e002-i0020 => L=0.767 acc= 76% / t(ms):   5.8  72.4  85.1)
e002-i0027 => L=1.263 acc= 52% / t(ms):   5.8  71.5  85.6)
e002-i0034 => L=0.956 acc= 70% / t(ms):   5.9  71.3  85.9)
e002-i0041 => L=1.445 acc= 51% / t(ms):   6.0  71.5  86.6)
e002-i0047 => L=1.140 acc= 62% / t(ms):   6.0  72.6  87.0)
e002-i0054 => L=1.055 acc= 65% / t(ms):   6.3  72.7  86.2)
e002-i0061 => L=1.524 acc= 45% / t(ms):   6.4  72.2  86.8)
e002-i0068 => L=1.075 acc= 65% / t(ms):   6.3  72.2  86.4)
e002-i0075 => L=0.741 acc= 75% / t(ms):   6.0  71.2  84.9)
e002-i0082 => L=1.244 acc= 57% / t(ms):   6.1  70.7  84.4)
e002-i0089 => L=1.292 acc= 56% / t(ms):   6.1  70.4  84.4)
e002-i0096 => L=1.041 acc= 62% / t(ms):   6.1  71.7  85.4)
e002-i0103 => L=1.046 acc= 63% / t(ms):   6.0  70.8  85.3)
e002-i0110 => L=1.082 acc= 60% / t(ms):   6.2  70.8  84.8)
e002-i0117 => L=1.110 acc= 62% / t(ms):   6.3  71.3  86.1)
e002-i0124 => L=1.206 acc= 61% / t(ms):   6.0  71.8  86.6)
e002-i0131 => L=1.370 acc= 58% / t(ms):   6.1  71.2  84.4)
e002-i0138 => L=0.862 acc= 72% / t(ms):   6.1  71.0  85.2)
e002-i0145 => L=0.859 acc= 70% / t(ms):   6.1  71.8  86.4)
e002-i0152 => L=1.017 acc= 65% / t(ms):   6.3  70.3  84.6)
e002-i0159 => L=1.080 acc= 68% / t(ms):   6.2  70.1  83.9)
