Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.7s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e001-i0263 => L=3.967 acc= 53% / t(ms):   0.8  72.5 105.3)
e001-i0269 => L=3.418 acc= 69% / t(ms):   0.7  73.1 105.9)
e001-i0275 => L=3.911 acc= 65% / t(ms):   0.7  72.0 105.0)
e001-i0281 => L=3.778 acc= 63% / t(ms):   0.8  72.4 105.8)
e001-i0287 => L=3.741 acc= 68% / t(ms):   0.8  72.8 107.7)
e001-i0293 => L=3.537 acc= 72% / t(ms):   0.8  72.2 106.3)
e001-i0299 => L=3.408 acc= 73% / t(ms):   0.8  72.5 105.9)
e001-i0305 => L=3.329 acc= 71% / t(ms):   0.7  72.6 106.9)
e001-i0311 => L=3.531 acc= 67% / t(ms):   0.7  74.0 110.2)
e001-i0317 => L=3.531 acc= 71% / t(ms):   0.7  74.0 109.6)
e001-i0323 => L=3.913 acc= 59% / t(ms):   0.7  74.2 109.2)
e001-i0329 => L=3.249 acc= 75% / t(ms):   0.6  74.6 111.7)
e001-i0335 => L=3.351 acc= 65% / t(ms):   0.6  76.7 114.5)
e001-i0341 => L=3.850 acc= 60% / t(ms):   0.6  76.0 113.2)
e001-i0347 => L=4.313 acc= 42% / t(ms):   0.8  74.5 110.6)
e001-i0353 => L=3.436 acc= 66% / t(ms):   0.8  72.9 107.1)
e001-i0359 => L=3.406 acc= 66% / t(ms):   0.7  72.8 106.3)
e001-i0365 => L=3.382 acc= 71% / t(ms):   0.6  72.8 108.1)
e001-i0371 => L=4.065 acc= 51% / t(ms):   0.7  72.7 107.7)
e001-i0377 => L=3.880 acc= 52% / t(ms):   0.7  72.2 106.6)
e001-i0383 => L=3.583 acc= 68% / t(ms):   0.6  72.1 107.0)
e001-i0389 => L=3.365 acc= 69% / t(ms):   0.7  72.3 107.2)
e001-i0395 => L=3.177 acc= 79% / t(ms):   0.7  72.2 106.2)
e001-i0401 => L=3.630 acc= 55% / t(ms):   0.7  73.0 107.0)
e001-i0407 => L=3.194 acc= 74% / t(ms):   0.6  73.1 109.0)
e001-i0413 => L=3.542 acc= 62% / t(ms):   0.6  72.1 109.1)
e001-i0419 => L=3.296 acc= 70% / t(ms):   0.6  72.4 107.8)
e001-i0425 => L=3.294 acc= 71% / t(ms):   0.7  72.1 108.1)
e001-i0431 => L=3.349 acc= 69% / t(ms):   0.9  72.2 107.3)
e001-i0437 => L=3.418 acc= 64% / t(ms):   0.8  73.9 108.4)
e001-i0443 => L=3.391 acc= 72% / t(ms):   0.7  73.7 108.3)
e001-i0449 => L=3.506 acc= 58% / t(ms):   0.6  73.3 108.7)
e001-i0455 => L=3.625 acc= 56% / t(ms):   0.6  72.9 108.4)
e001-i0461 => L=3.486 acc= 62% / t(ms):   0.6  72.0 106.1)
e001-i0467 => L=3.479 acc= 67% / t(ms):   0.6  71.8 107.2)
e001-i0473 => L=3.249 acc= 67% / t(ms):   0.6  72.5 108.3)
e001-i0479 => L=3.845 acc= 54% / t(ms):   0.6  71.9 106.1)
e001-i0485 => L=3.722 acc= 67% / t(ms):   0.6  70.5 103.7)
e001-i0491 => L=3.039 acc= 79% / t(ms):   0.5  69.7 103.9)
e001-i0497 => L=3.397 acc= 69% / t(ms):   0.5  70.3 104.6)
Validation : 0.0% (timings : 48.50 4.97)
Validation : 18.0% (timings : 39.64 36.11)
Validation : 54.0% (timings : 15.88 48.17)
Validation : 94.0% (timings : 5.78 50.48)
S3DIS mean IoU = 30.5%
e002-i0000 => L=3.083 acc= 74% / t(ms): 8271.5  84.4 159.5)
e002-i0005 => L=3.325 acc= 71% / t(ms):   7.5  94.3 106.3)
e002-i0011 => L=3.473 acc= 62% / t(ms):   4.3  84.5 106.0)
e002-i0017 => L=3.390 acc= 65% / t(ms):   2.6  78.6 105.7)
e002-i0023 => L=3.808 acc= 61% / t(ms):   1.7  75.0 106.6)
e002-i0029 => L=3.506 acc= 64% / t(ms):   1.1  74.8 108.7)
e002-i0035 => L=3.112 acc= 73% / t(ms):   0.9  73.2 106.6)
e002-i0041 => L=3.482 acc= 64% / t(ms):   0.8  72.1 107.1)
e002-i0047 => L=3.233 acc= 73% / t(ms):   0.7  71.6 105.1)
e002-i0053 => L=3.449 acc= 64% / t(ms):   0.6  71.4 108.2)
e002-i0059 => L=3.278 acc= 77% / t(ms):   0.6  72.0 106.4)
e002-i0065 => L=3.689 acc= 66% / t(ms):   0.7  73.0 108.6)
e002-i0071 => L=3.063 acc= 72% / t(ms):   0.6  73.3 108.2)
e002-i0077 => L=3.394 acc= 70% / t(ms):   0.6  73.5 109.4)
e002-i0083 => L=3.582 acc= 67% / t(ms):   0.6  72.7 107.2)
e002-i0089 => L=3.521 acc= 61% / t(ms):   0.7  73.2 107.7)
e002-i0095 => L=3.624 acc= 64% / t(ms):   0.7  71.8 105.6)
e002-i0101 => L=3.239 acc= 70% / t(ms):   0.8  72.3 106.2)
e002-i0107 => L=3.522 acc= 64% / t(ms):   0.7  72.9 106.7)
e002-i0113 => L=3.411 acc= 62% / t(ms):   0.8  72.4 107.5)
e002-i0119 => L=3.335 acc= 66% / t(ms):   0.8  71.6 105.6)
e002-i0125 => L=3.595 acc= 63% / t(ms):   0.7  71.7 105.0)
e002-i0131 => L=3.455 acc= 63% / t(ms):   0.6  71.7 104.4)
e002-i0137 => L=3.691 acc= 61% / t(ms):   0.6  73.0 106.5)
e002-i0143 => L=3.580 acc= 61% / t(ms):   0.7  72.1 105.3)
e002-i0149 => L=3.153 acc= 75% / t(ms):   0.8  72.0 105.8)
e002-i0155 => L=3.505 acc= 66% / t(ms):   0.7  72.0 104.9)
e002-i0161 => L=3.293 acc= 70% / t(ms):   0.6  72.2 106.8)
e002-i0167 => L=3.662 acc= 62% / t(ms):   0.7  71.3 106.4)
e002-i0173 => L=3.493 acc= 73% / t(ms):   0.7  71.8 107.8)
e002-i0179 => L=3.220 acc= 72% / t(ms):   0.8  71.3 107.4)
e002-i0185 => L=3.506 acc= 60% / t(ms):   0.8  71.6 106.5)
e002-i0191 => L=3.123 acc= 75% / t(ms):   0.8  71.3 105.9)
e002-i0197 => L=3.734 acc= 55% / t(ms):   0.7  71.4 106.0)
e002-i0203 => L=3.085 acc= 79% / t(ms):   0.7  71.3 107.1)
e002-i0209 => L=3.231 acc= 76% / t(ms):   0.7  71.4 106.9)
e002-i0215 => L=3.164 acc= 73% / t(ms):   0.6  71.2 106.3)
e002-i0221 => L=3.409 acc= 70% / t(ms):   0.7  71.9 108.3)
e002-i0227 => L=3.268 acc= 69% / t(ms):   0.6  71.7 107.9)
e002-i0233 => L=3.232 acc= 69% / t(ms):   0.6  70.1 106.6)
e002-i0239 => L=3.145 acc= 68% / t(ms):   0.6  71.0 106.7)
e002-i0245 => L=3.362 acc= 73% / t(ms):   0.6  72.2 108.3)
e002-i0251 => L=3.369 acc= 74% / t(ms):   0.6  71.7 105.7)
e002-i0257 => L=3.031 acc= 78% / t(ms):   0.7  71.7 105.4)
e002-i0263 => L=3.203 acc= 75% / t(ms):   0.8  71.9 106.1)
e002-i0269 => L=3.462 acc= 60% / t(ms):   0.7  71.9 106.6)
e002-i0275 => L=3.420 acc= 66% / t(ms):   0.6  71.4 108.5)
e002-i0281 => L=3.210 acc= 73% / t(ms):   0.6  71.2 107.6)
e002-i0287 => L=3.236 acc= 75% / t(ms):   0.7  71.2 106.6)
e002-i0293 => L=3.507 acc= 61% / t(ms):   0.6  72.0 108.2)
e002-i0299 => L=3.615 acc= 64% / t(ms):   0.7  71.6 107.4)
e002-i0305 => L=3.281 acc= 70% / t(ms):   0.8  71.8 106.3)
e002-i0311 => L=3.594 acc= 60% / t(ms):   0.8  71.8 109.6)
e002-i0317 => L=3.637 acc= 58% / t(ms):   0.7  72.1 107.5)
e002-i0323 => L=3.722 acc= 58% / t(ms):   0.6  71.2 107.5)
e002-i0329 => L=3.509 acc= 69% / t(ms):   0.6  70.8 107.1)
e002-i0335 => L=3.279 acc= 73% / t(ms):   0.6  71.2 106.9)
e002-i0341 => L=3.281 acc= 74% / t(ms):   0.6  72.4 106.3)
e002-i0347 => L=3.592 acc= 63% / t(ms):   0.6  71.9 106.4)
e002-i0353 => L=3.449 acc= 62% / t(ms):   0.6  71.6 105.2)
e002-i0359 => L=3.365 acc= 67% / t(ms):   0.6  71.5 105.2)
e002-i0365 => L=3.474 acc= 57% / t(ms):   0.6  72.2 107.9)
e002-i0371 => L=3.361 acc= 68% / t(ms):   0.6  72.9 108.9)
e002-i0377 => L=3.155 acc= 77% / t(ms):   0.6  72.3 107.3)
e002-i0383 => L=3.246 acc= 70% / t(ms):   0.7  72.2 106.0)
e002-i0389 => L=3.091 acc= 75% / t(ms):   0.6  72.4 107.7)
e002-i0395 => L=3.303 acc= 69% / t(ms):   0.7  71.7 107.2)
